,Species1,Family1,Order1,Mass,Wing.Length,Habitat,Habitat.Density,Trophic.Level,Primary.Lifestyle,Centroid.Latitude,Centroid.Longitude,Animals
1648,Leptotila battyi,Columbidae,Columbiformes,160.6,135.0,Forest,1,Herbivore,Terrestrial,7.49,-81.03,Azuero dove
1649,Leptotila cassinii,Columbidae,Columbiformes,159.0,132.3,Forest,1,Herbivore,Terrestrial,11.76,-83.02,Grey-chested dove
1650,Leptotila conoveri,Columbidae,Columbiformes,153.5,136.0,Forest,1,Herbivore,Terrestrial,3.51,-75.57,Tolima dove
1651,Leptotila jamaicensis,Columbidae,Columbiformes,165.0,147.0,Shrubland,1,Herbivore,Terrestrial,19.35,-87.45,Caribbean dove
1652,Leptotila megalura,Columbidae,Columbiformes,218.0,150.2,Forest,1,Herbivore,Terrestrial,-21.62,-65.27,Yungas dove
1653,Leptotila ochraceiventris,Columbidae,Columbiformes,146.0,132.4,Forest,1,Herbivore,Generalist,-3.76,-79.91,Ochre-bellied dove
1654,Leptotila pallida,Columbidae,Columbiformes,122.8,136.2,Forest,1,Herbivore,Terrestrial,0.8,-78.81,Pallid dove
1655,Leptotila plumbeiceps,Columbidae,Columbiformes,170.0,141.0,Forest,1,Herbivore,Terrestrial,16.68,-90.32,Grey-headed dove
1656,Leptotila rufaxilla,Columbidae,Columbiformes,157.0,135.5,Forest,1,Herbivore,Terrestrial,-8.97,-56.85,Grey-fronted dove
1657,Leptotila verreauxi,Columbidae,Columbiformes,146.9,136.7,Shrubland,1,Herbivore,Terrestrial,-7.54,-61.63,White-tipped dove
1658,Leptotila wellsi,Columbidae,Columbiformes,200.0,138.0,Woodland,1,Herbivore,Terrestrial,12.05,-61.71,Grenada dove
1659,Leptotrygon veraguensis,Columbidae,Columbiformes,155.0,132.2,Forest,1,Herbivore,Insessorial,6.57,-78.08,Olive-backed quail-dove
1660,Leucosarcia melanoleuca,Columbidae,Columbiformes,428.6,197.0,Forest,2,Herbivore,Terrestrial,-30.44,150.08,Wonga pigeon
1661,Lopholaimus antarcticus,Columbidae,Columbiformes,496.4,277.6,Forest,2,Herbivore,Insessorial,-27.3,150.43,Topknot pigeon
1662,Macropygia amboinensis,Columbidae,Columbiformes,237.0,171.9,Forest,1,Herbivore,Insessorial,-4.61,137.47,Amboyna cuckoo-dove
1663,Macropygia emiliana,Columbidae,Columbiformes,161.0,171.0,Forest,1,Herbivore,Insessorial,-1.69,111.12,Ruddy cuckoo-dove
1664,Macropygia macassariensis,Columbidae,Columbiformes,237.0,175.8,Forest,1,Herbivore,Insessorial,-6.37,120.62,Flores Sea cuckoo-dove
1665,Macropygia mackinlayi,Columbidae,Columbiformes,85.9,148.6,Forest,1,Herbivore,Insessorial,-9.67,159.75,Mackinlay's cuckoo-dove
1666,Macropygia magna,Columbidae,Columbiformes,237.0,187.2,Forest,1,Herbivore,Insessorial,-9.05,125.25,Timor cuckoo-dove
1667,Macropygia nigrirostris,Columbidae,Columbiformes,90.1,146.5,Forest,1,Herbivore,Insessorial,-4.79,141.58,Bar-tailed cuckoo-dove
1668,Macropygia phasianella,Columbidae,Columbiformes,237.0,175.8,,1,Herbivore,Insessorial,-24.55,149.09,Brown cuckoo-dove
1669,Macropygia ruficeps,Columbidae,Columbiformes,81.9,141.0,Forest,1,Herbivore,Generalist,5.92,107.72,Little cuckoo-dove
1670,Macropygia rufipennis,Columbidae,Columbiformes,256.0,191.0,Forest,1,Herbivore,Insessorial,11.22,92.96,Andaman cuckoo-dove
1671,Macropygia tenuirostris,Columbidae,Columbiformes,177.0,176.2,Forest,1,Herbivore,Insessorial,11.79,122.86,Philippine cuckoo-dove
1672,Macropygia timorlaoensis,Columbidae,Columbiformes,237.0,175.8,Forest,1,Herbivore,Insessorial,-7.62,131.4,Tanimbar cuckoo-dove
1673,Macropygia unchall,Columbidae,Columbiformes,168.0,174.8,Forest,1,Herbivore,Insessorial,22.97,103.4,Barred cuckoo-dove
1674,Megaloprepia formosa,Columbidae,Columbiformes,118.5,141.3,Forest,2,Herbivore,Insessorial,0.5,127.94,Scarlet-breasted fruit dove
1675,Megaloprepia magnifica,Columbidae,Columbiformes,185.4,163.5,Forest,2,Herbivore,Insessorial,-10.36,143.31,Wompoo fruit dove
1676,Metriopelia aymara,Columbidae,Columbiformes,61.8,116.2,Grassland,3,Herbivore,Terrestrial,-22.02,-68.28,Golden-spotted ground dove
1677,Metriopelia ceciliae,Columbidae,Columbiformes,55.1,95.0,Shrubland,3,Herbivore,Terrestrial,-14.5,-72.04,Bare-faced ground dove
1678,Metriopelia melanoptera,Columbidae,Columbiformes,100.0,130.6,Shrubland,3,Herbivore,Terrestrial,-29.4,-70.12,Black-winged ground dove
1679,Metriopelia morenoi,Columbidae,Columbiformes,28.6,95.8,Shrubland,3,Herbivore,Terrestrial,-26.53,-66.72,Moreno's ground dove
1680,Nesoenas mayeri,Columbidae,Columbiformes,302.8,208.5,Forest,3,Herbivore,Generalist,-20.43,57.45,Pink pigeon
1681,Nesoenas picturatus,Columbidae,Columbiformes,176.8,165.8,Forest,2,Herbivore,Terrestrial,-19.35,46.69,Malagasy turtle dove
1682,Ocyphaps lophotes,Columbidae,Columbiformes,204.0,160.6,Grassland,3,Herbivore,Terrestrial,-25.9,134.24,Crested pigeon
1683,Oena capensis,Columbidae,Columbiformes,40.6,102.5,Shrubland,3,Herbivore,Terrestrial,0.86,23.95,Namaqua dove
1684,Otidiphaps aruensis,Columbidae,Columbiformes,500.0,185.7,Forest,2,Herbivore,Terrestrial,-6.17,134.42,Pheasant pigeon
1685,Otidiphaps cervicalis,Columbidae,Columbiformes,500.0,180.8,Forest,2,Herbivore,Terrestrial,-6.86,145.45,Pheasant pigeon
1686,Otidiphaps insularis,Columbidae,Columbiformes,500.0,174.6,Forest,2,Herbivore,Terrestrial,-9.53,150.66,Pheasant pigeon
1687,Otidiphaps nobilis,Columbidae,Columbiformes,500.0,182.0,Forest,2,Herbivore,Terrestrial,-3.18,136.85,Pheasant pigeon
1688,Paraclaravis geoffroyi,Columbidae,Columbiformes,43.5,118.0,Forest,1,Herbivore,Terrestrial,-24.08,-46.92,Purple-winged ground dove
1689,Paraclaravis mondetoura,Columbidae,Columbiformes,89.7,116.9,Forest,1,Herbivore,Terrestrial,2.09,-79.78,Maroon-chested ground dove
1690,Patagioenas albilinea,Columbidae,Columbiformes,366.3,204.9,Forest,2,Herbivore,Terrestrial,-7.68,-71.73,Band-tailed pigeon
1691,Patagioenas albipennis,Columbidae,Columbiformes,347.0,228.3,Woodland,2,Herbivore,Terrestrial,-16.52,-69.59,Patagioenas
1692,Patagioenas araucana,Columbidae,Columbiformes,270.0,210.2,Forest,2,Herbivore,Insessorial,-39.48,-72.23,Chilean pigeon
1693,Patagioenas caribaea,Columbidae,Columbiformes,250.0,209.7,Forest,2,Herbivore,Insessorial,18.19,-77.21,Ring-tailed pigeon
1694,Patagioenas cayennensis,Columbidae,Columbiformes,229.0,180.3,Forest,3,Herbivore,Insessorial,-7.62,-59.02,Pale-vented pigeon
1695,Patagioenas corensis,Columbidae,Columbiformes,272.3,192.0,Shrubland,2,Herbivore,Insessorial,10.6,-69.53,Bare-eyed pigeon
1696,Patagioenas fasciata,Columbidae,Columbiformes,366.3,206.9,Forest,2,Herbivore,Terrestrial,32.56,-109.86,Band-tailed pigeon
1697,Patagioenas flavirostris,Columbidae,Columbiformes,270.8,186.9,Woodland,2,Herbivore,Insessorial,19.18,-95.19,Red-billed pigeon
1698,Patagioenas goodsoni,Columbidae,Columbiformes,176.0,148.7,Forest,2,Herbivore,Insessorial,2.97,-77.98,Dusky pigeon
1699,Patagioenas inornata,Columbidae,Columbiformes,365.0,209.0,Forest,2,Herbivore,Insessorial,19.12,-73.5,Plain pigeon
1700,Patagioenas leucocephala,Columbidae,Columbiformes,240.1,190.8,Woodland,2,Herbivore,Insessorial,20.42,-76.36,White-crowned pigeon
1701,Patagioenas maculosa,Columbidae,Columbiformes,347.0,211.8,Woodland,2,Herbivore,Terrestrial,-28.98,-60.13,Spot-winged pigeon
1702,Patagioenas nigrirostris,Columbidae,Columbiformes,176.0,162.0,Forest,2,Herbivore,Insessorial,14.33,-87.31,Short-billed pigeon
1703,Patagioenas oenops,Columbidae,Columbiformes,264.6,192.0,Forest,2,Herbivore,Insessorial,-6.09,-78.28,Maranon pigeon
1704,Patagioenas picazuro,Columbidae,Columbiformes,279.0,218.2,Forest,3,Herbivore,Generalist,-21.04,-52.92,Picazuro pigeon
1705,Patagioenas plumbea,Columbidae,Columbiformes,178.8,177.8,Forest,1,Herbivore,Insessorial,-7.14,-61.29,Plumbeous pigeon
1706,Patagioenas speciosa,Columbidae,Columbiformes,258.5,184.7,Forest,1,Herbivore,Insessorial,-4.09,-63.71,Scaled pigeon
1707,Patagioenas squamosa,Columbidae,Columbiformes,312.0,210.3,Forest,2,Herbivore,Insessorial,20.24,-75.01,Scaly-naped pigeon
1708,Patagioenas subvinacea,Columbidae,Columbiformes,162.5,156.3,Forest,2,Herbivore,Insessorial,-2.21,-64.55,Ruddy pigeon
1709,Petrophassa albipennis,Columbidae,Columbiformes,124.3,132.8,Rock,3,Herbivore,Terrestrial,-16.01,127.42,White-quilled rock pigeon
1710,Petrophassa rufipennis,Columbidae,Columbiformes,159.0,141.4,Rock,3,Herbivore,Terrestrial,-12.72,133.48,Chestnut-quilled rock pigeon
1711,Phapitreron amethystinus,Columbidae,Columbiformes,145.0,140.3,Forest,1,Herbivore,Insessorial,12.02,123.21,Amethyst brown dove
1712,Phapitreron brevirostris,Columbidae,Columbiformes,108.0,118.9,Forest,1,Herbivore,Insessorial,8.38,124.78,Brown dove
1713,Phapitreron brunneiceps,Columbidae,Columbiformes,146.0,137.9,Forest,1,Herbivore,Insessorial,7.65,124.79,Mindanao brown dove
1714,Phapitreron cinereiceps,Columbidae,Columbiformes,146.0,134.5,Forest,1,Herbivore,Insessorial,5.2,120.06,Tawitawi brown dove
1715,Phapitreron frontalis,Columbidae,Columbiformes,145.0,139.0,Forest,1,Herbivore,Insessorial,9.72,123.42,Brown dove
1716,Phapitreron leucotis,Columbidae,Columbiformes,108.0,128.8,Forest,1,Herbivore,Insessorial,15.64,121.44,White-eared brown dove
1717,Phapitreron maculipectus,Columbidae,Columbiformes,145.0,147.3,Forest,1,Herbivore,Insessorial,10.17,122.91,Brown dove
1718,Phapitreron nigrorum,Columbidae,Columbiformes,108.0,125.3,Forest,1,Herbivore,Insessorial,10.78,122.94,White-eared brown dove
1719,Phaps chalcoptera,Columbidae,Columbiformes,330.7,197.8,Forest,3,Herbivore,Terrestrial,-26.24,135.71,Common bronzewing
1720,Phaps elegans,Columbidae,Columbiformes,211.4,162.5,Woodland,2,Herbivore,Terrestrial,-35.41,138.02,Brush bronzewing
1721,Phaps histrionica,Columbidae,Columbiformes,289.0,196.5,Grassland,3,Herbivore,Terrestrial,-21.99,131.98,Flock bronzewing
1722,Ptilinopus alligator,Columbidae,Columbiformes,243.0,186.7,Forest,2,Herbivore,Insessorial,-12.45,133.54,black-banded fruit dove
1723,Ptilinopus arcanus,Columbidae,Columbiformes,85.9,100.0,Forest,2,Herbivore,Insessorial,10.44,123.15,Negros fruit dove
1724,Ptilinopus aurantiifrons,Columbidae,Columbiformes,152.0,128.0,Forest,2,Herbivore,Insessorial,-5.11,139.4,Orange-fronted fruit dove
1725,Ptilinopus chalcurus,Columbidae,Columbiformes,97.6,135.0,Forest,2,Herbivore,Insessorial,-15.84,-148.26,Makatea fruit dove
1726,Ptilinopus chrysogaster,Columbidae,Columbiformes,97.6,136.9,Forest,2,Herbivore,Insessorial,-16.72,-151.41,Raiatea fruit dove
1727,Ptilinopus cinctus,Columbidae,Columbiformes,243.0,157.8,Forest,2,Herbivore,Insessorial,-8.78,121.8,Banded fruit dove
1728,Ptilinopus coralensis,Columbidae,Columbiformes,83.2,126.0,Forest,2,Omnivore,Terrestrial,-16.82,-143.79,Atoll fruit dove
1729,Ptilinopus coronulatus,Columbidae,Columbiformes,76.6,117.0,Forest,2,Herbivore,Insessorial,-5.36,140.95,Coroneted fruit dove
1730,Ptilinopus dohertyi,Columbidae,Columbiformes,243.0,178.0,Forest,2,Herbivore,Insessorial,-9.76,119.95,Red-naped fruit dove
1731,Ptilinopus dupetithouarsii,Columbidae,Columbiformes,99.5,144.2,Forest,2,Herbivore,Insessorial,-9.44,-139.51,White-capped fruit dove
1732,Ptilinopus eugeniae,Columbidae,Columbiformes,114.0,115.2,Forest,2,Herbivore,Insessorial,-10.52,161.82,White-headed fruit dove
1733,Ptilinopus fasciatus,Columbidae,Columbiformes,106.0,130.9,Forest,2,Herbivore,Insessorial,-13.77,-172.05,Crimson-crowned fruit dove
1734,Ptilinopus gestroi,Columbidae,Columbiformes,163.0,147.2,Forest,2,Herbivore,Insessorial,-5.15,141.76,Ornate fruit dove
1735,Ptilinopus granulifrons,Columbidae,Columbiformes,136.5,121.0,Forest,2,Herbivore,Insessorial,-1.56,127.73,Carunculated fruit dove
1736,Ptilinopus greyi,Columbidae,Columbiformes,82.7,114.8,Forest,2,Herbivore,Insessorial,-19.11,166.44,Red-bellied fruit dove
1737,Ptilinopus hernsheimi,Columbidae,Columbiformes,105.0,124.0,Forest,2,Herbivore,Insessorial,5.31,162.98,Kosrae fruit dove
1738,Ptilinopus huttoni,Columbidae,Columbiformes,130.0,161.7,Forest,2,Herbivore,Insessorial,-27.61,-144.35,Rapa fruit dove
1739,Ptilinopus hyogastrus,Columbidae,Columbiformes,136.5,125.8,Forest,2,Herbivore,Insessorial,0.91,127.99,Grey-headed fruit dove
1740,Ptilinopus insolitus,Columbidae,Columbiformes,136.5,128.0,Forest,2,Herbivore,Insessorial,-5.05,150.89,Knob-billed fruit dove
1741,Ptilinopus insularis,Columbidae,Columbiformes,104.0,143.5,Forest,2,Herbivore,Insessorial,-24.36,-128.32,Henderson fruit dove
1742,Ptilinopus iozonus,Columbidae,Columbiformes,114.0,117.8,Forest,2,Herbivore,Insessorial,-5.34,140.92,Orange-bellied fruit dove
1743,Ptilinopus melanospilus,Columbidae,Columbiformes,92.0,118.1,Forest,2,Herbivore,Insessorial,-2.06,119.09,Black-naped fruit dove
1744,Ptilinopus monacha,Columbidae,Columbiformes,53.9,95.8,Forest,2,Herbivore,Insessorial,0.53,127.94,Blue-capped fruit dove
1745,Ptilinopus nainus,Columbidae,Columbiformes,49.0,87.4,Forest,2,Herbivore,Insessorial,-5.12,139.58,Dwarf fruit dove
1746,Ptilinopus ornatus,Columbidae,Columbiformes,163.0,150.7,Forest,2,Herbivore,Insessorial,-1.12,133.11,Ornate fruit dove
1747,Ptilinopus pelewensis,Columbidae,Columbiformes,93.0,127.8,Forest,2,Herbivore,Insessorial,7.44,134.54,Palau fruit dove
1748,Ptilinopus perlatus,Columbidae,Columbiformes,210.0,156.8,Forest,2,Herbivore,Insessorial,-5.37,140.99,Pink-spotted fruit dove
1749,Ptilinopus perousii,Columbidae,Columbiformes,93.5,128.6,Forest,2,Herbivore,Insessorial,-16.95,110.25,Many-colored fruit dove
1750,Ptilinopus ponapensis,Columbidae,Columbiformes,105.0,127.2,Forest,2,Herbivore,Insessorial,6.98,156.94,Purple-capped fruit dove
1751,Ptilinopus porphyraceus,Columbidae,Columbiformes,105.0,133.2,Forest,2,Herbivore,Insessorial,-18.35,-17.49,Crimson-crowned fruit dove
1752,Ptilinopus porphyreus,Columbidae,Columbiformes,168.0,145.0,Forest,2,Herbivore,Insessorial,-4.73,105.46,Pink-headed fruit dove
1753,Ptilinopus pulchellus,Columbidae,Columbiformes,70.0,105.6,Forest,2,Herbivore,Insessorial,-4.85,141.05,Beautiful fruit dove
1754,Ptilinopus purpuratus,Columbidae,Columbiformes,97.6,145.2,Forest,2,Herbivore,Insessorial,-17.66,-149.45,Grey-green fruit dove
1755,Ptilinopus rarotongensis,Columbidae,Columbiformes,97.6,124.5,Forest,2,Herbivore,Insessorial,-20.66,-159.01,Lilac-crowned fruit dove
1756,Ptilinopus regina,Columbidae,Columbiformes,101.6,126.8,Forest,2,Herbivore,Insessorial,-18.29,141.1,Rose-crowned fruit dove
1757,Ptilinopus richardsii,Columbidae,Columbiformes,103.9,127.2,Forest,2,Herbivore,Insessorial,-11.58,160.42,Silver-capped fruit dove
1758,Ptilinopus rivoli,Columbidae,Columbiformes,149.0,126.0,Forest,2,Herbivore,Insessorial,-5.05,140.99,White-bibbed fruit dove
1759,Ptilinopus roseicapilla,Columbidae,Columbiformes,90.4,122.4,Forest,2,Herbivore,Insessorial,14.84,145.57,Mariana fruit dove
1760,Ptilinopus solomonensis,Columbidae,Columbiformes,108.5,115.2,Forest,2,Herbivore,Insessorial,-7.06,156.01,Yellow-bibbed fruit dove
1761,Ptilinopus speciosus,Columbidae,Columbiformes,108.5,110.1,Forest,2,Herbivore,Insessorial,-0.95,135.79,Geelvink fruit dove
1762,Ptilinopus superbus,Columbidae,Columbiformes,118.0,129.0,Forest,2,Herbivore,Insessorial,-14.47,144.51,Superb fruit dove
1763,Ptilinopus tannensis,Columbidae,Columbiformes,208.0,148.5,Forest,2,Herbivore,Insessorial,-16.23,167.71,Tanna fruit dove
1764,Ptilinopus temminckii,Columbidae,Columbiformes,118.0,136.1,Forest,2,Herbivore,Insessorial,-2.16,121.23,Superb fruit dove
1765,Ptilinopus viridis,Columbidae,Columbiformes,121.0,112.3,Forest,2,Herbivore,Insessorial,-4.62,141.96,Claret-breasted fruit dove
1766,Ptilinopus wallacii,Columbidae,Columbiformes,208.0,148.2,Forest,2,Herbivore,Insessorial,-6.7,133.02,Wallace's fruit dove
1767,Ramphiculus epius,Columbidae,Columbiformes,142.0,168.4,Forest,2,Herbivore,Insessorial,-1.81,121.03,Oberholser's fruit dove
1768,Ramphiculus fischeri,Columbidae,Columbiformes,177.0,169.0,Forest,2,Herbivore,Insessorial,-1.86,120.6,Red-eared fruit dove
1769,Ramphiculus jambu,Columbidae,Columbiformes,135.0,138.4,Forest,2,Herbivore,Insessorial,1.12,108.19,Jambu fruit dove
1770,Ramphiculus leclancheri,Columbidae,Columbiformes,164.0,141.2,Forest,2,Herbivore,Insessorial,12.11,122.83,Black-chinned fruit dove
1771,Ramphiculus mangoliensis,Columbidae,Columbiformes,142.0,158.6,Forest,2,Herbivore,Insessorial,-1.83,125.02,Sula fruit dove
1772,Ramphiculus marchei,Columbidae,Columbiformes,326.0,177.4,Forest,2,Herbivore,Insessorial,16.71,121.31,Flame-breasted fruit dove
1773,Ramphiculus meridionalis,Columbidae,Columbiformes,177.0,166.2,Forest,2,Herbivore,Insessorial,-5.25,119.9,Fruit dove
1774,Ramphiculus merrilli,Columbidae,Columbiformes,263.0,164.3,Forest,2,Herbivore,Insessorial,15.21,121.78,Cream-breasted fruit dove
1775,Ramphiculus occipitalis,Columbidae,Columbiformes,238.0,157.2,Forest,2,Herbivore,Insessorial,11.86,123.1,Yellow-breasted fruit dove
1776,Ramphiculus subgularis,Columbidae,Columbiformes,142.0,163.0,Forest,2,Herbivore,Insessorial,-1.4,123.18,Banggai fruit dove
1777,Reinwardtoena browni,Columbidae,Columbiformes,304.0,228.8,Forest,1,Herbivore,Insessorial,-4.99,150.71,Pied cuckoo-dove
1778,Reinwardtoena crassirostris,Columbidae,Columbiformes,259.0,203.7,Forest,1,Herbivore,Insessorial,-8.14,158.38,Crested cuckoo-dove
1779,Reinwardtoena reinwardti,Columbidae,Columbiformes,275.0,238.2,Forest,1,Herbivore,Insessorial,-4.43,139.77,Great cuckoo-dove
1780,Spilopelia chinensis,Columbidae,Columbiformes,159.0,138.8,Woodland,3,Herbivore,Terrestrial,19.96,107.84,Spotted dove
1781,Spilopelia senegalensis,Columbidae,Columbiformes,82.1,132.2,Woodland,3,Herbivore,Terrestrial,13.86,37.37,Laughing dove
1782,Spilopelia suratensis,Columbidae,Columbiformes,159.0,137.0,Woodland,3,Herbivore,Terrestrial,22.05,79.42,Spotted dove
1783,Starnoenas cyanocephala,Columbidae,Columbiformes,219.0,140.3,Forest,1,Herbivore,Terrestrial,21.14,-78.14,Blue-headed quail-dove
1784,Streptopelia bitorquata,Columbidae,Columbiformes,153.0,160.8,Woodland,3,Herbivore,Terrestrial,-7.82,113.82,Sunda collared dove
1785,Streptopelia capicola,Columbidae,Columbiformes,142.0,151.1,Shrubland,3,Herbivore,Terrestrial,-12.47,28.78,Ring-necked dove
1786,Streptopelia decaocto,Columbidae,Columbiformes,149.0,173.7,Human Modified,3,Herbivore,Terrestrial,40.2,54.01,Eurasian collared dove
1787,Streptopelia decipiens,Columbidae,Columbiformes,134.0,167.4,Shrubland,2,Herbivore,Terrestrial,2.85,20.96,Mourning collared dove
1788,Streptopelia dusumieri,Columbidae,Columbiformes,153.0,158.7,Woodland,3,Herbivore,Terrestrial,11.75,122.88,Philippine collared dove
1789,Streptopelia hypopyrrha,Columbidae,Columbiformes,162.0,173.0,Forest,3,Herbivore,Terrestrial,10.45,-0.14,Adamawa turtle dove
1790,Streptopelia lugens,Columbidae,Columbiformes,155.0,172.7,Forest,3,Herbivore,Terrestrial,6.17,37.7,Dusky turtle dove
1791,Streptopelia orientalis,Columbidae,Columbiformes,232.9,176.5,Woodland,3,Herbivore,Terrestrial,43.17,102.09,Oriental turtle dove
1792,Streptopelia reichenowi,Columbidae,Columbiformes,119.0,140.2,Forest,2,Herbivore,Insessorial,4.0,42.4,White-winged collared dove
1793,Streptopelia roseogrisea,Columbidae,Columbiformes,155.0,159.2,Shrubland,2,Herbivore,Terrestrial,15.74,15.76,African collared dove
1794,Streptopelia semitorquata,Columbidae,Columbiformes,176.0,173.1,Shrubland,3,Herbivore,Terrestrial,-3.6,21.72,Red-eyed dove
1795,Streptopelia tranquebarica,Columbidae,Columbiformes,103.0,134.8,Woodland,2,Herbivore,Terrestrial,26.15,97.93,Red collared dove
1796,Streptopelia turtur,Columbidae,Columbiformes,132.0,170.7,Woodland,2,Herbivore,Terrestrial,45.44,42.42,European turtle dove
1797,Streptopelia vinacea,Columbidae,Columbiformes,110.0,136.4,Shrubland,2,Herbivore,Terrestrial,10.58,12.21,Vinaceous dove
1798,Streptopelia xanthocycla,Columbidae,Columbiformes,149.0,176.2,Human Modified,3,Herbivore,Terrestrial,21.33,95.39,Burmese collared dove
1799,Treron affinis,Columbidae,Columbiformes,234.0,144.0,Forest,2,Herbivore,Insessorial,14.61,75.04,Grey-fronted green pigeon
1800,Treron apicauda,Columbidae,Columbiformes,217.2,163.6,Forest,2,Herbivore,Insessorial,23.37,98.0,Pin-tailed green pigeon
1801,Treron aromaticus,Columbidae,Columbiformes,234.0,156.8,Forest,2,Herbivore,Insessorial,-3.42,126.63,Buru green pigeon
1802,Treron australis,Columbidae,Columbiformes,229.0,170.4,Forest,2,Herbivore,Insessorial,-19.38,46.78,Madagascar green pigeon
1803,Treron axillaris,Columbidae,Columbiformes,234.0,154.8,Forest,2,Herbivore,Insessorial,11.82,123.09,Philippine green pigeon
1804,Treron bicinctus,Columbidae,Columbiformes,174.0,156.2,Forest,2,Herbivore,Insessorial,17.13,93.64,Orange-breasted green pigeon
1805,Treron calvus,Columbidae,Columbiformes,197.5,160.6,Forest,2,Herbivore,Insessorial,-2.7,19.34,African green pigeon
1806,Treron capellei,Columbidae,Columbiformes,401.3,193.8,Forest,2,Herbivore,Insessorial,0.73,107.82,Large green pigeon
1807,Treron chloropterus,Columbidae,Columbiformes,234.0,172.0,Forest,2,Herbivore,Insessorial,11.21,92.97,Andaman green pigeon
1808,Treron curvirostra,Columbidae,Columbiformes,134.5,135.9,Forest,2,Herbivore,Insessorial,13.64,102.06,Thick-billed green pigeon
1809,Treron delalandii,Columbidae,Columbiformes,197.5,170.0,Forest,2,Herbivore,Insessorial,-18.72,35.52,Green pigeon
1810,Treron floris,Columbidae,Columbiformes,205.7,147.8,Forest,2,Herbivore,Insessorial,-8.58,119.69,Flores green pigeon
1811,Treron formosae,Columbidae,Columbiformes,140.0,190.6,Forest,2,Herbivore,Insessorial,23.68,120.98,Taiwan green pigeon
1812,Treron fulvicollis,Columbidae,Columbiformes,167.0,143.4,Woodland,2,Herbivore,Insessorial,1.34,109.94,Cinnamon-headed green pigeon
1813,Treron griseicauda,Columbidae,Columbiformes,205.7,145.4,Grassland,2,Herbivore,Insessorial,-4.32,116.37,Grey-cheeked green pigeon
1814,Treron griveaudi,Columbidae,Columbiformes,229.0,169.0,Forest,2,Herbivore,Insessorial,-12.31,43.71,Comoro green pigeon
1815,Treron olax,Columbidae,Columbiformes,77.0,118.8,Forest,2,Herbivore,Insessorial,0.88,108.41,Little green pigeon
1816,Treron oxyurus,Columbidae,Columbiformes,205.7,156.8,Forest,2,Herbivore,Insessorial,0.78,99.71,Sumatran green pigeon
1817,Treron pembaensis,Columbidae,Columbiformes,205.7,169.0,Forest,2,Herbivore,Insessorial,-5.17,39.76,Pemba green pigeon
1818,Treron permagnus,Columbidae,Columbiformes,140.0,200.7,Forest,2,Herbivore,Insessorial,27.13,128.02,Ryukyu green pigeon
1819,Treron phayrei,Columbidae,Columbiformes,187.0,155.8,Forest,2,Herbivore,Insessorial,19.87,98.97,Ashy-headed green pigeon
1820,Treron phoenicopterus,Columbidae,Columbiformes,235.0,188.2,Forest,2,Herbivore,Insessorial,21.9,84.61,Yellow-footed green pigeon
1821,Treron pompadora,Columbidae,Columbiformes,234.0,150.5,Forest,2,Herbivore,Insessorial,7.61,80.71,Sri Lanka green pigeon
1822,Treron psittaceus,Columbidae,Columbiformes,205.7,165.8,Forest,2,Herbivore,Insessorial,-9.32,125.02,Timor green pigeon
1823,Treron sanctithomae,Columbidae,Columbiformes,205.7,170.5,Forest,2,Herbivore,Insessorial,0.24,6.61,São Tomé green pigeon
1824,Treron seimundi,Columbidae,Columbiformes,157.8,153.6,Forest,2,Herbivore,Insessorial,16.11,106.33,Yellow-vented green pigeon
1825,Treron sieboldii,Columbidae,Columbiformes,245.0,182.6,Forest,2,Herbivore,Insessorial,28.01,116.78,White-bellied green pigeon
1826,Treron sphenurus,Columbidae,Columbiformes,210.0,170.7,Forest,1,Herbivore,Insessorial,22.52,98.35,Wedge-tailed green pigeon
1827,Treron teysmannii,Columbidae,Columbiformes,205.7,157.0,Forest,2,Herbivore,Insessorial,-9.82,119.9,Sumba green pigeon
1828,Treron vernans,Columbidae,Columbiformes,132.0,137.4,Forest,2,Herbivore,Insessorial,3.34,110.34,Pink-necked green pigeon
1829,Treron waalia,Columbidae,Columbiformes,254.0,179.4,Woodland,2,Herbivore,Insessorial,10.69,18.1,Bruce's green pigeon
1830,Trugon terrestris,Columbidae,Columbiformes,400.0,173.5,Forest,1,Herbivore,Terrestrial,-5.35,141.0,Thick-billed ground pigeon
1831,Turacoena manadensis,Columbidae,Columbiformes,208.6,198.7,Forest,1,Herbivore,Insessorial,-2.11,121.12,White-faced cuckoo-dove
1832,Turacoena modesta,Columbidae,Columbiformes,340.0,196.8,Forest,1,Herbivore,Insessorial,-9.14,125.2,Black cuckoo-dove
1833,Turacoena sulaensis,Columbidae,Columbiformes,208.6,181.0,Forest,1,Herbivore,Insessorial,-1.88,125.16,Sula cuckoo-dove
1834,Turtur abyssinicus,Columbidae,Columbiformes,62.7,105.4,Shrubland,2,Herbivore,Terrestrial,11.41,13.19,Black-billed wood dove
1835,Turtur afer,Columbidae,Columbiformes,65.6,105.2,Shrubland,2,Herbivore,Terrestrial,2.08,17.55,Blue-spotted wood dove
1836,Turtur brehmeri,Columbidae,Columbiformes,116.0,126.4,Forest,2,Omnivore,Terrestrial,2.42,13.71,Blue-headed wood dove
1837,Turtur chalcospilos,Columbidae,Columbiformes,60.6,110.5,Shrubland,2,Herbivore,Terrestrial,-10.42,31.73,Emerald-spotted wood dove
